City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,geraldton,-28.7667,114.6,15.23,82,87,6.17,AU,1724261599
212,elliot,-31.3333,27.85,14.12,27,1,3.0,ZA,1724261601
213,limassol,34.675,33.0333,30.04,58,0,7.72,CY,1724261598
214,bikenibeu village,1.3673,173.1241,26.98,78,20,4.12,KI,1724261603
215,nguigmi,14.2495,13.1092,32.45,46,25,0.73,NE,1724261604
216,kodiak,57.79,-152.4072,12.73,71,100,2.57,US,1724261605
217,mil'kovo,55.6078,37.7956,21.3,53,70,3.41,RU,1724261608
218,fale old settlement,-9.3852,-171.2468,27.91,77,100,8.92,TK,1724261609
219,aksu,41.1231,80.2644,25.76,33,34,1.69,CN,1724261611
220,pauini,-7.7136,-66.9764,37.04,27,35,1.78,BR,1724261612
221,djibouti,11.5,42.5,26.36,64,28,2.64,DJ,1724261613
222,balabac,7.9868,117.0645,26.64,86,100,2.38,PH,1724261615
223,boende,-0.2167,20.8667,22.03,97,100,0.89,CD,1724261616
224,namtsy,62.7161,129.6658,11.91,93,63,1.8,RU,1724261617
225,natal,-5.795,-35.2094,30.36,61,20,9.26,BR,1724261606
226,sur,22.5667,59.5289,28.88,71,0,7.81,OM,1724261619
227,puerto aysen,-45.4,-72.7,6.47,94,100,0.76,CL,1724261414
228,kpandae,8.4689,-0.0113,26.56,78,99,0.99,GH,1724261622
229,salah bey,35.8545,5.2905,28.65,16,77,4.7,DZ,1724261623
230,riyadh,24.6877,46.7219,37.94,21,59,6.74,SA,1724261378
231,bonthe,7.5264,-12.505,24.14,93,100,4.62,SL,1724261625
232,alofi,-19.0595,-169.9187,22.94,94,75,6.69,NU,1724261427
233,sisa,-6.6167,-76.6915,35.53,32,7,1.75,PE,1724261627
234,klyuchi,52.2667,79.1667,18.58,58,86,2.7,RU,1724261628
235,mirny,62.5353,113.9611,14.6,77,87,2.21,RU,1724261630
236,kamloops,50.6665,-120.3192,20.42,55,75,2.57,CA,1724261631
237,iwon-up,40.3231,128.6553,24.41,94,98,1.89,KP,1724261632
238,vasil'yevo,55.836,48.6582,13.72,81,49,2.15,RU,1724261633
239,sutton,51.35,-0.2,19.65,63,40,6.17,GB,1724261634
240,glace bay,46.1969,-59.957,27.72,67,75,2.57,CA,1724261635
241,kasane,-17.8167,25.15,21.03,17,3,3.05,BW,1724261367
242,cabinda,-5.55,12.2,24.08,78,75,3.09,AO,1724261638
243,nova sintra,14.8667,-24.7167,26.31,67,81,3.24,CV,1724261639
244,daru,-9.0763,143.2092,24.46,86,100,8.83,PG,1724261640
245,carnarvon,-24.8667,113.6333,19.61,73,2,5.77,AU,1724261641
246,inhambane,-23.865,35.3833,20.11,75,0,3.92,MZ,1724261642
247,tosontsengel,48.7567,98.2839,13.49,79,39,1.7,MN,1724261644
248,es castell,39.8795,4.2854,27.38,61,0,3.09,ES,1724261645
249,cannonvale,-20.2833,148.7,19.66,78,92,3.49,AU,1724261646
250,hadibu,12.65,54.0333,25.92,78,55,8.77,YE,1724261647
251,hakui,36.8833,136.7833,24.86,92,100,1.73,JP,1724261648
252,pangoa,-12.1167,-73.0,34.09,33,64,2.89,PE,1724261649
253,bantay,17.5847,120.3892,27.34,82,57,2.15,PH,1724261651
254,hailey,43.5196,-114.3153,24.41,30,69,2.24,US,1724261652
255,fort morgan,40.2503,-103.8,27.36,50,0,0.0,US,1724261594
256,la'ie,21.6477,-157.9253,27.98,77,23,2.68,US,1724261654
257,camiri,-20.05,-63.5167,28.88,37,1,0.0,BO,1724261655
258,anisoc,1.8658,10.7689,21.93,97,81,0.94,GQ,1724261656
259,vila franca do campo,37.7167,-25.4333,27.23,74,73,0.58,PT,1724261658
260,beni khalled,36.6504,10.59,26.76,57,0,7.35,TN,1724261659
261,tirumullaivasal,11.2333,79.8333,27.26,75,92,7.46,IN,1724261660
262,mhamid,29.82,-5.72,38.07,21,41,9.17,MA,1724261661
263,camarinas,43.1311,-9.1817,19.96,80,0,9.64,ES,1724261662
264,rampura,30.25,75.2333,29.86,66,43,2.47,IN,1724261663
265,taoudenni,22.6783,-3.9836,45.28,11,10,2.94,ML,1724261665
266,vorkuta,67.5,64.0,8.39,91,98,2.84,RU,1724261666
267,olavarria,-36.8927,-60.3225,6.52,97,100,4.89,AR,1724261399
268,pukchil-lodongjagu,40.2019,125.7483,22.01,99,100,1.08,KP,1724261668
269,katsuura,35.1333,140.3,26.11,87,100,3.87,JP,1724261669
270,lago da pedra,-4.3333,-45.1667,38.8,22,0,2.27,BR,1724261670
271,vilyuchinsk,52.9306,158.4028,8.15,73,94,4.08,RU,1724261671
272,urengoy,65.9667,78.3667,13.23,70,94,1.48,RU,1724261673
273,port macquarie,-31.4333,152.9167,14.48,99,100,1.34,AU,1724261674
274,sodra sandby,56.5667,16.6167,17.72,83,95,5.37,SE,1724261675
275,port saint john's,-31.6229,29.5448,17.8,70,41,11.41,ZA,1724261676
276,ravar,31.2656,56.8055,29.14,13,0,1.32,IR,1724261677
277,baki,-7.6128,110.7839,22.37,82,56,1.86,ID,1724261678
278,goundam,16.4145,-3.6708,35.9,35,78,3.44,ML,1724261680
279,cole harbour,44.6724,-63.4751,24.42,80,75,3.6,CA,1724261681
280,manokwari,-0.8667,134.0833,25.1,82,94,2.19,ID,1724261682
281,namibe,-15.1961,12.1522,17.93,85,9,1.64,AO,1724261683
